iter	RMSE
0	0.4974663593
1	0.4935407358
2	0.4896760928
3	0.485814452
4	0.4819055946
5	0.4780774467
6	0.4743019247
7	0.470536619
8	0.4668787311
9	0.4632454575
10	0.459643811
11	0.4561044689
12	0.4525998547
13	0.4491001685
14	0.4455945409
15	0.4422207126
16	0.4388705022
17	0.4354758751
18	0.4321119266
19	0.4287448387
20	0.4255128546
21	0.4221728396
22	0.4189653552
23	0.4158591819
24	0.4128493286
25	0.4098633635
26	0.4069005993
27	0.4038010321
28	0.4008356593
29	0.3978935338
30	0.3950641287
31	0.3920779504
32	0.3892846522
33	0.3864636252
34	0.3837898114
35	0.3809924824
36	0.378159261
37	0.3755580009
38	0.3728602358
39	0.3702736746
40	0.3677221333
41	0.3651445531
42	0.362551171
43	0.3599427842
44	0.3573894128
45	0.3548385852
46	0.3523864872
47	0.3499857918
48	0.3475214
49	0.3449660641
50	0.3425973969
51	0.340295646
52	0.3379770178
53	0.3356885675
54	0.3335077943
55	0.331197486
56	0.3289133566
57	0.3265867314
58	0.324351375
59	0.3220917699
60	0.3200306999
61	0.3178277026
62	0.3157723233
63	0.3137662332
64	0.3115975455
65	0.3097319622
66	0.3078076852
67	0.3058531576
68	0.3039691655
69	0.3019676869
70	0.2999070572
71	0.2979594884
72	0.2960444959
73	0.2942068734
74	0.2923283508
75	0.2904392274
76	0.2886777191
77	0.2868348889
78	0.2851838656
79	0.2834005297
80	0.2815798518
81	0.2798428297
82	0.2780781806
83	0.2762837478
84	0.2745910374
85	0.2728780445
86	0.2711580332
87	0.2695111322
88	0.2679009062
89	0.2662889157
90	0.2646627768
91	0.2628878467
92	0.2613056052
93	0.2597459411
94	0.2581606732
95	0.2565535784
96	0.2550684394
97	0.2534747262
98	0.2519105182
99	0.250416221
100	0.2489691212
101	0.2475150203
102	0.2461566372
103	0.2446940006
104	0.2432702583
105	0.2419180946
106	0.2404672155
107	0.2390872571
108	0.2376445572
109	0.2362905806
110	0.234896374
111	0.2335399217
112	0.2323012507
113	0.230975401
114	0.2296995932
115	0.2285012367
116	0.2272720891
117	0.2260756781
118	0.2248569552
119	0.223646824
120	0.2224683648
121	0.2211951923
122	0.2201076772
123	0.2188839674
124	0.2177428845
125	0.2166028404
126	0.2153790582
127	0.2141569888
128	0.213049856
129	0.2119045283
130	0.210792088
131	0.2096109456
132	0.2085207939
133	0.2075125561
134	0.2063655699
135	0.2053341274
136	0.2041991471
137	0.2031966755
138	0.2021477244
139	0.2010275909
140	0.2000953927
141	0.1990631382
142	0.1980958863
143	0.1970667615
144	0.1960474464
145	0.194987922
146	0.1941287965
147	0.1932445965
148	0.1923259467
149	0.1914090361
150	0.190542161
