iter	Passed	Remaining
0	2	1082
1	4	1057
2	6	1036
3	8	1011
4	10	996
5	11	979
6	13	968
7	15	955
8	17	948
9	19	946
10	21	946
11	23	944
12	25	940
13	26	934
14	28	927
15	30	922
16	32	922
17	34	924
18	36	921
19	38	919
20	40	915
21	41	909
22	43	906
23	45	901
24	47	896
25	49	893
26	50	892
27	53	895
28	55	896
29	57	894
30	58	892
31	60	888
32	62	884
33	64	881
34	66	878
35	68	879
36	70	877
37	72	875
38	73	873
39	75	870
40	77	867
41	79	865
42	81	863
43	83	864
44	85	863
45	87	861
46	89	858
47	90	855
48	92	853
49	94	850
50	96	847
51	98	846
52	100	844
53	102	843
54	103	841
55	105	839
56	107	837
57	109	835
58	111	834
59	113	835
60	115	833
61	117	831
62	119	828
63	121	826
64	123	824
65	125	822
66	126	820
67	128	818
68	130	816
69	132	815
70	134	813
71	136	811
72	138	809
73	140	807
74	142	806
75	144	804
76	146	803
77	148	801
78	149	798
79	151	796
80	153	794
81	155	792
82	157	790
83	159	789
84	161	787
85	163	785
86	165	783
87	166	780
88	168	778
89	170	776
90	172	773
91	174	772
92	176	770
93	177	768
94	179	766
95	181	764
96	183	762
97	185	760
98	187	758
99	189	756
100	191	754
101	193	753
102	194	751
103	196	749
104	198	747
105	200	744
106	202	742
107	203	740
108	205	738
109	207	737
110	209	735
111	211	733
112	213	731
113	215	729
114	217	727
115	219	725
116	221	724
117	223	721
118	224	720
119	226	718
120	228	716
121	230	714
122	232	712
123	234	710
124	236	709
125	238	707
126	240	705
127	242	703
128	243	701
129	245	699
130	247	698
131	249	696
132	251	694
133	253	692
134	255	690
135	257	688
136	259	686
137	261	684
138	262	683
139	264	681
140	266	679
141	268	677
142	270	675
143	272	673
144	274	671
145	276	669
146	278	667
147	279	665
148	281	663
149	283	661
150	285	660
151	287	658
152	289	656
153	291	654
154	293	653
155	295	651
156	297	649
157	299	647
158	301	646
159	303	644
160	304	642
161	306	640
162	308	638
163	310	636
164	312	634
165	314	633
166	316	631
167	319	630
168	321	629
169	323	628
170	325	626
171	327	624
172	329	622
173	331	620
174	333	618
175	335	616
176	337	615
177	338	613
178	340	610
179	342	609
180	344	607
181	346	605
182	348	603
183	350	601
184	352	599
185	354	597
186	355	595
187	357	593
188	359	591
189	361	590
190	363	588
191	365	586
192	367	584
193	369	583
194	371	581
195	373	579
196	375	577
197	377	575
198	379	573
199	380	571
200	382	569
201	384	567
202	386	565
203	388	563
204	390	561
205	392	559
206	393	557
207	395	555
208	397	553
209	399	551
210	400	549
211	402	546
212	404	545
213	406	543
214	408	541
215	410	539
216	412	537
217	414	535
218	416	533
219	417	531
220	419	530
221	421	528
222	423	526
223	425	524
224	427	522
225	429	520
226	430	518
227	432	516
228	434	514
229	436	512
230	438	510
231	440	508
232	442	506
233	443	504
234	445	502
235	447	500
236	449	499
237	451	497
238	453	495
239	455	493
240	456	491
241	458	489
242	460	487
243	462	485
244	464	483
245	466	481
246	468	479
247	470	477
248	472	475
249	473	473
250	475	471
251	477	469
252	479	467
253	481	466
254	483	464
255	484	462
256	486	460
257	488	458
258	490	456
259	492	454
260	493	452
261	495	450
262	497	448
263	499	446
264	501	444
265	503	442
266	504	440
267	506	438
268	508	436
269	510	434
270	512	432
271	514	431
272	516	429
273	517	427
274	519	425
275	521	423
276	523	421
277	525	419
278	527	417
279	529	415
280	530	413
281	532	411
282	534	409
283	536	407
284	537	405
285	539	403
286	541	401
287	543	400
288	545	398
289	547	396
290	549	394
291	550	392
292	552	390
293	554	388
294	556	386
295	558	385
296	560	383
297	562	381
298	564	379
299	565	377
300	567	375
301	569	373
302	571	371
303	573	369
304	575	367
305	577	365
306	578	363
307	580	362
308	582	360
309	584	358
310	586	356
311	587	354
312	589	352
313	591	350
314	593	348
315	594	346
316	596	344
317	598	342
318	600	340
319	601	338
320	603	336
321	605	334
322	606	332
323	608	330
324	610	328
325	612	326
326	614	324
327	615	322
328	617	321
329	619	319
330	621	317
331	623	315
332	624	313
333	626	311
334	628	309
335	630	307
336	632	305
337	634	303
338	635	302
339	637	300
340	639	298
341	641	296
342	643	294
343	645	292
344	647	290
345	649	288
346	650	286
347	652	285
348	654	283
349	656	281
350	658	279
351	660	277
352	662	275
353	663	273
354	665	271
355	667	270
356	669	268
357	671	266
358	672	264
359	674	262
360	676	260
361	678	258
362	679	256
363	681	254
364	683	252
365	685	250
366	687	249
367	689	247
368	690	245
369	692	243
370	694	241
371	696	239
372	697	237
373	699	235
374	701	233
375	703	232
376	705	230
377	707	228
378	709	226
379	710	224
380	712	222
381	714	220
382	716	218
383	717	216
384	719	214
385	721	213
386	723	211
387	724	209
388	726	207
389	728	205
390	730	203
391	732	201
392	733	199
393	735	197
394	737	196
395	739	194
396	741	192
397	742	190
398	744	188
399	746	186
400	748	184
401	750	182
402	752	181
403	754	179
404	755	177
405	757	175
406	759	173
407	761	171
408	763	169
409	765	167
410	766	166
411	768	164
412	770	162
413	772	160
414	774	158
415	776	156
416	778	154
417	780	153
418	781	151
419	783	149
420	785	147
421	786	145
422	788	143
423	790	141
424	792	139
425	794	138
426	796	136
427	798	134
428	799	132
429	801	130
430	803	128
431	805	126
432	807	124
433	808	123
434	810	121
435	812	119
436	814	117
437	815	115
438	817	113
439	819	111
440	821	109
441	823	108
442	824	106
443	826	104
444	828	102
445	830	100
446	832	98
447	834	96
448	835	94
449	837	93
450	839	91
451	841	89
452	843	87
453	845	85
454	847	83
455	849	81
456	851	80
457	853	78
458	854	76
459	856	74
460	858	72
461	860	70
462	862	68
463	864	67
464	865	65
465	867	63
466	869	61
467	871	59
468	873	57
469	875	55
470	877	53
471	878	52
472	880	50
473	882	48
474	884	46
475	886	44
476	888	42
477	889	40
478	891	39
479	893	37
480	895	35
481	897	33
482	899	31
483	901	29
484	903	27
485	904	26
486	906	24
487	908	22
488	910	20
489	912	18
490	913	16
491	915	14
492	917	13
493	919	11
494	921	9
495	922	7
496	924	5
497	926	3
498	928	1
499	930	0
